time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-09-21 00:36:27.356,13,0.13,0,0,0,0,0,0,0,-1,0.01376343,0.03938293,-1.032166,0,0,0,0,0,-1,-0.0203375,0.01233363,0.009458483,0.9934791,0.01287389,-0.03955454,0.001634739,-0.0001540464,0.00457379,0.001525575,-0.001717687,-0.03385448,192.168.1.6,10.136.42.164,5,stationary,1,2014-09-21 00:36:26.139,0,2014-09-21 00:36:16.523,0
2014-09-21 00:36:27.404,14,0.14,0,0,0,0,0,0,0,-1,0.01383972,0.04187012,-1.031235,0,0,0,0,0,-1,-0.0190717,0.008685101,0.008254734,0.9936042,0.01285408,-0.03961458,-0.0008446971,0.00106323,0.00202851,0.001926863,0.001655545,-0.0323765,192.168.1.6,10.136.42.164,5,stationary,1,2014-09-21 00:36:26.139,0,2014-09-21 00:36:16.523,0
2014-09-21 00:36:27.430,15,0.15,0,0,0,0,0,0,0,-1,0.01383972,0.04187012,-1.031235,0,0,0,0,0,-1,-0.0190717,0.008685101,0.008254734,0.9936042,0.01285408,-0.03961458,-0.0008446971,0.00106323,0.00202851,0.001926863,0.001655545,-0.0323765,192.168.1.6,10.136.42.164,5,stationary,1,2014-09-21 00:36:26.139,0,2014-09-21 00:36:16.523,0
2014-09-21 00:36:27.472,16,0.16,0,0,0,0,0,0,0,-1,0.01324463,0.03961182,-1.032974,0,0,0,0,0,-1,-0.0216499,0.007511179,0.01068833,0.9937441,0.01286761,-0.03974906,-0.003505118,-0.003718441,0.00820215,0.001150478,0.002314631,-0.03303814,192.168.1.6,10.136.42.164,5,stationary,1,2014-09-21 00:36:26.139,0,2014-09-21 00:36:16.523,0
2014-09-21 00:36:27.505,17,0.17,0,0,0,0,0,0,0,-1,0.01382446,0.03877258,-1.031448,0,0,0,0,0,-1,-0.01781362,0.007464041,0.008286426,0.9937483,0.01289627,-0.03974256,0.002972341,0.001024729,0.0008697484,0.0003589029,-0.0001202833,-0.03384696,192.168.1.6,10.136.42.164,5,stationary,1,2014-09-21 00:36:26.139,0,2014-09-21 00:36:16.523,0
2014-09-21 00:36:27.538,18,0.18,0,0,0,0,0,0,0,-1,0.0164032,0.04057312,-1.03299,0,0,0,0,0,-1,-0.0204339,0.006304501,0.01320582,0.9939124,0.01294355,-0.03989131,-0.005865088,-0.0001151117,-0.0005650118,0.001959688,0.001058604,-0.03357884,192.168.1.6,10.136.42.164,5,stationary,1,2014-09-21 00:36:26.139,0,2014-09-21 00:36:16.523,0
2014-09-21 00:36:27.575,19,0.19,0,0,0,0,0,0,0,-1,0.01472473,0.03775024,-1.033768,0,0,0,0,0,-1,-0.01541038,0.007485347,0.01579974,0.9939566,0.01296844,-0.03991519,-0.004905288,-0.00145131,0.00307221,0.0008209407,-7.914927e-05,-0.03367167,192.168.1.6,10.136.42.164,5,stationary,1,2014-09-21 00:36:26.139,0,2014-09-21 00:36:16.523,0
2014-09-21 00:36:27.614,20,0.2,0,0,0,0,0,0,0,-1,0.01239014,0.03889465,-1.033157,0,0,0,0,0,-1,-0.01915479,0.005076251,0.01199461,0.9941946,0.01311676,-0.03978043,0.001405844,-0.0002860446,0.004451426,0.0006726772,-0.0007684732,-0.03462953,192.168.1.6,10.136.42.164,5,stationary,1,2014-09-21 00:36:26.139,0,2014-09-21 00:36:16.523,0
2014-09-21 00:36:27.651,21,0.21,0,0,0,0,0,0,0,-1,0.01420593,0.04212952,-1.034576,0,0,0,0,0,-1,-0.02042059,0.008724782,0.01319836,0.9942768,0.01308974,-0.03975305,-0.003686992,0.0009823466,0.006821724,0.0006538905,-0.0004511974,-0.03261393,192.168.1.6,10.136.42.164,5,stationary,1,2014-09-21 00:36:26.139,0,2014-09-21 00:36:16.523,0
2014-09-21 00:36:27.676,22,0.22,0,0,0,0,0,0,0,-1,0.01319885,0.04008484,-1.032654,0,0,0,0,0,-1,-0.02042059,0.008724782,0.01319836,0.9942768,0.01308974,-0.03975305,-0.003686992,0.0009823466,0.006821724,0.0006538905,-0.0004511974,-0.03261393,192.168.1.6,10.136.42.164,5,stationary,1,2014-09-21 00:36:26.139,0,2014-09-21 00:36:16.523,0
